Species,SpeciesCode,Numberofobservations,Residency
AcadianFlycatcher,ACFL,340,NE
AlderFlycatcher,ALFL,2,NE
AmericanCrow,AMCR,189,R
AmericanGoldfinch,AMGO,526,M
AmericanKestrel,AMKE,2,R
AmericanRedstart,AMRE,18,NE
AmericanRobin,AMRO,683,M
AmericanWoodcock,AMWO,5,M
BaldEagle,BAEA,3,R
BaltimoreOriole,BAOR,156,NE
BankSwallow,BANS,5,NE
BarnSwallow,BARS,73,NE
BarredOwl,BADO,10,R
BeltedKingfisher,BEKI,36,R
Black-and-whiteWarbler,BAWW,2,NE
Black-cappedChickadee,BCCH,494,R
Black-throatedGreenWarbler,BTNW,1,NE
BlueJay,BLJA,553,M
Blue-grayGnatcatcher,BGGN,273,M
Blue-headedVireo,BHVI,1,NE
Blue-wingedWarbler,BWWA,12,NE
Bobolink,BOBO,1,NE
Broad-wingedHawk,BWHA,3,NE
BrownCreeper,BRCR,21,M
BrownThrasher,BRTH,8,M
Brown-headedCowbird,BHCO,436,M
CanadaGoose,CANG,26,R
CarolinaWren,CARW,125,R
CedarWaxwing,CEDW,182,M
CeruleanWarbler,CERW,1,NE
ChimneySwift,CHSW,214,NE
ChippingSparrow,CHSP,143,M
CliffSwallow,CLSW,1,NE
CommonGrackle,COGR,176,M
CommonNighthawk,CONI,1,NE
CommonYellowthroat,COYE,134,NE
Cooper'sHawk,COHA,16,M
Dark-eyedJunco,DEJU,47,R
Double-crestedCormorant,DCCO,1,M
DownyWoodpecker,DOWO,439,R
EasternBluebird,EABL,73,M
EasternKingbird,EAKI,28,NE
EasternMeadowlark,EAME,9,M
EasternPhoebe,EAPH,70,M
EasternTowhee,EATO,95,M
EasternWood-Pewee,EAWP,598,NE
EuropeanStarling,EUST,89,R
FieldSparrow,FISP,42,M
GrayCatbird,GRCA,301,M
GreatBlueHeron,GBHE,29,M
GreatCrestedFlycatcher,GCFL,207,NE
GreatHornedOwl,GHOW,1,R
GreenHeron,GRHE,7,M
HairyWoodpecker,HAWO,105,R
HermitThrush,HETH,7,NE
HerringGull,HERG,3,R
HoodedWarbler,HOWA,149,NE
HouseFinch,HOFI,78,R
HouseSparrow,HOSP,165,R
HouseWren,HOWR,325,M
IndigoBunting,INBU,220,NE
Killdeer,KILL,25,M
LouisianaWaterthrush,LOWA,23,NE
Mallard,MALL,20,M
MourningDove,MODO,88,M
NashvilleWarbler,NAWA,1,NE
NorthernCardinal,NOCA,610,R
NorthernFlicker,NOFL,120,M
NorthernParula,NOPA,1,M
NorthernRough-wingedSwallow,NRWS,31,M
OrchardOriole,OROR,45,NE
Ovenbird,OVEN,26,NE
PileatedWoodpecker,PIWO,113,R
PrairieWarbler,PRAW,1,NE
PurpleFinch,PUFI,2,M
PurpleMartin,PUMA,4,NE
Red-belliedWoodpecker,RBWO,509,R
Red-breastedNuthatch,RBNU,1,M
Red-eyedVireo,REVI,587,NE
Red-headedWoodpecker,RHWO,12,R
Red-shoulderedHawk,RSHA,24,R
Red-tailedHawk,RTHA,22,R
Red-wingedBlackbird,RWBL,262,M
Ring-billedGull,RBGU,35,R
RockPigeon,ROPI,6,R
Rose-breastedGrosbeak,RBGR,87,NE
Ruby-throatedHummingbird,RTHU,51,NE
Rufous-sidedTowhee,RSTO,1,M
SavannahSparrow,SAVS,7,M
ScarletTanager,SCTA,225,NE
SongSparrow,SOSP,399,R
SpottedSandpiper,SPSA,3,M
SwampSparrow,SWSP,23,M
TreeSwallow,TRES,41,M
TuftedTitmouse,TUTI,566,R
TurkeyVulture,TUVU,24,M
Veery,VEER,33,NE
VirginiaRail,VIRA,1,M
WarblingVireo,WAVI,106,NE
White-breastedNuthatch,WBNU,374,R
White-eyedVireo,WEVI,3,NE
WildTurkey,WITU,12,R
WillowFlycatcher,WIFL,38,NE
WinterWren,WIWR,4,M
WoodDuck,WODU,4,M
WoodThrush,WOTH,255,NE
YellowWarbler,YEWA,129,NE
Yellow-billedCuckoo,YBCU,11,NE
Yellow-throatedVireo,YTVI,28,NE
Yellow-throatedWarbler,YTWA,13,NE
