Covariate,Process,Mean,SD,5%,50%,95%,Rhat,ESS,Mean_variance,SD_variance,5%_variance,50%_variance,95%_variance,Rhat_variance,ESS
Intercept - occupancy,Occupancy,-1.3829,0.3092,-1.8921,-1.3854,-0.8753,1,4365,8.2383,1.5023,6.061,8.0784,10.9152,1.0003,4550
monocots,Occupancy,-0.1845,0.0798,-0.3158,-0.1838,-0.0525,1.0013,5700,0.2498,0.0781,0.1411,0.2402,0.3923,1.0005,5616
perc_open,Occupancy,0.2078,0.073,0.0875,0.2067,0.3271,1.002,5274,0.1916,0.0712,0.0954,0.1809,0.324,1.0013,5700
developed.x,Occupancy,-0.1597,0.0825,-0.2974,-0.1583,-0.0257,1.0026,5700,0.2599,0.0937,0.1315,0.246,0.4326,0.9999,5300
ldi,Occupancy,-0.083,0.0641,-0.1883,-0.0822,0.023,1.0018,5700,0.14,0.052,0.0687,0.1338,0.2375,1.0002,5700
dicot,Occupancy,0.2793,0.068,0.1679,0.2797,0.3904,1,5700,0.0841,0.0369,0.0355,0.078,0.1518,1.0003,5700
carex,Occupancy,-0.1425,0.0635,-0.2478,-0.1417,-0.0399,1.0004,5700,0.1033,0.0419,0.0479,0.0964,0.1803,1.0008,5700
tol_rel,Occupancy,0.0311,0.0688,-0.0837,0.0316,0.1422,1.0006,5700,0.1165,0.0467,0.0531,0.1097,0.2039,1.0029,5431
canopy_dens,Occupancy,-0.0854,0.0589,-0.1804,-0.0864,0.0116,1.001,5700,0.1088,0.0425,0.0526,0.1021,0.1877,1.0092,5700
svp,Occupancy,-0.0621,0.0679,-0.1744,-0.0617,0.0494,1.0013,5700,0.1276,0.0523,0.0573,0.1203,0.2218,1.0012,5700
Intercept - detection,Detection,-1.1538,0.1695,-1.4384,-1.1493,-0.8794,1.0004,3033,1.6311,0.3842,1.1004,1.5877,2.3233,1.0011,2153
dayyear,Detection,0.0479,0.0374,-0.0147,0.0487,0.1083,1.0014,5700,0.0655,0.0174,0.0407,0.0634,0.0966,1.0001,5700
tod,Detection,-0.0053,0.0286,-0.0508,-0.0057,0.0417,1.0002,5700,0.0227,0.0076,0.0128,0.0213,0.0367,1.0009,5700
seasons,Detection,0.1359,0.0373,0.0747,0.1362,0.1982,1.0007,5700,0.0326,0.0118,0.0171,0.0306,0.055,1.0006,5700
dist_road,Detection,0.0242,0.0458,-0.0522,0.0254,0.0961,1.0011,5700,0.0656,0.0249,0.0328,0.0618,0.112,1.0025,5700
