"","x"
"1","ACFL"
"2","ALFL"
"3","AMCR"
"4","AMGO"
"5","AMKE"
"6","AMRE"
"7","AMRO"
"8","AMWO"
"9","BADO"
"10","BAEA"
"11","BANS"
"12","BAOR"
"13","BARS"
"14","BCCH"
"15","BEKI"
"16","BGGN"
"17","BHCO"
"18","BHVI"
"19","BLJA"
"20","BOBO"
"21","BRCR"
"22","BRTH"
"23","BTNW"
"24","BWHA"
"25","BWWA"
"26","CANG"
"27","CARW"
"28","CEDW"
"29","CERW"
"30","CHSP"
"31","CHSW"
"32","CLSW"
"33","COGR"
"34","COHA"
"35","COYE"
"36","DEJU"
"37","DOWO"
"38","EABL"
"39","EAKI"
"40","EAME"
"41","EAPH"
"42","EATO"
"43","EAWP"
"44","EUST"
"45","FISP"
"46","GBHE"
"47","GCFL"
"48","GHOW"
"49","GRCA"
"50","GRHE"
"51","HAWO"
"52","HERG"
"53","HETH"
"54","HOFI"
"55","HOSP"
"56","HOWA"
"57","HOWR"
"58","INBU"
"59","KILL"
"60","LOWA"
"61","MALL"
"62","MODO"
"63","NOCA"
"64","NOFL"
"65","NOPA"
"66","NRWS"
"67","OROR"
"68","OVEN"
"69","PIWO"
"70","PUFI"
"71","PUMA"
"72","RBGR"
"73","RBGU"
"74","RBNU"
"75","RBWO"
"76","REVI"
"77","RHWO"
"78","ROPI"
"79","RSHA"
"80","RTHA"
"81","RTHU"
"82","RWBL"
"83","SAVS"
"84","SCTA"
"85","SOSP"
"86","SWSP"
"87","TRES"
"88","TUTI"
"89","TUVU"
"90","VEER"
"91","VIRA"
"92","WAVI"
"93","WBNU"
"94","WEVI"
"95","WIFL"
"96","WITU"
"97","WIWR"
"98","WODU"
"99","WOTH"
"100","YBCU"
"101","YEWA"
"102","YTVI"
"103","YTWA"
